,ADC,DCE,T1w,T2w
SmallAreaHighGrayLevelEmphasis,-0.00141633142880808,-0.00171233104905664,0.0150276031797815,0.00796552009772266
SmallAreaLowGrayLevelEmphasis,0.0054933028141409,-0.0264470313807907,0.0176834411054204,0.021514012988486
SmallDependenceEmphasis,0.0696097945446293,0.0493627641319875,0.788399096497353,0.804219104794512
SmallDependenceHighGrayLevelEmphasis,-0.000697109366812619,-0.00370131254175477,0.0988828714331338,0.114660471306273
SmallDependenceLowGrayLevelEmphasis,0.152089745778306,0.398701060290031,0.725733888192325,0.757847240142769
Sphericity,1,1,1,1
Strength,0.259090745313383,0.140900962463668,0.239066421562044,0.236251722756873
SumAverage,0.00152747965252174,0.00421762390586983,0.0282966783178498,0.0368252645227907
SumEntropy,-0.00479263931873756,0.00945647913416551,0.0366282575667099,0.0358690126691689
SumSquares,-0.00126070460198358,-0.00161822735285821,0.009764970992835,0.012711564725235
SurfaceArea,1,1,1,1
SurfaceVolumeRatio,1,1,1,1
TotalEnergy,1,1,1,1
Uniformity,0.617575395357682,0.293531659908617,-0.0588721276424999,0.0171372730075466
Variance,1,1,1,1
VoxelVolume,1,1,1,1
ZoneEntropy,0.106492317204971,0.12073009836829,0.105998757428276,0.305483592179778
ZonePercentage,0.0496168009062285,0.0373326866080393,0.755836450577772,0.779640390810836
ZoneVariance,0.00288002742073725,-0.000330860874131664,0.0447167976764374,0.0858270982934611
