,DCE,ADC,T1w,T2w,T1w Z,T2w Z
InterquartileRange,-0.11006822564839538,0.7440882391177389,0.22160057045691403,0.5020313244235243,0.24094075944349394,0.6585936844833605
InverseVariance,0.1475736048839884,0.3707161239520004,0.8111312864128364,0.6640527058282462,0.8115863191755831,0.6000592175269147
JointAverage,-0.035515587846163044,0.4441699350305383,0.21362659345405632,0.3970431845931198,0.666937755550612,0.5525700662567528
JointEnergy,-0.013313572949886665,0.6143615550782799,0.8091693081324889,0.5728110604962547,0.840837825523036,0.47541037077915704
JointEntropy,-0.0004444813580423794,0.6276685695383181,0.8053382541050068,0.6350332067545289,0.7924104710234093,0.6407158837019099
Kurtosis,0.279435571987451,0.7103950321573528,0.7339882956438823,0.08244918920054735,0.7339882956438833,0.08244918920054801
LargeAreaEmphasis,-0.001359433002074775,0.6364821007673188,0.7118732770660456,0.7019815801947985,0.4672783950633033,0.5136435857221522
LargeAreaHighGrayLevelEmphasis,-0.0017445522773542935,0.636544431425464,0.7374759423504063,0.6673573452468654,0.4128549794192538,0.3146943251145302
LargeAreaLowGrayLevelEmphasis,0.012782956889472915,0.6366658208782994,0.5374305083435964,0.6239357316072082,0.2111784763247837,0.15042298960973674
LargeDependenceEmphasis,0.04586349942669399,0.688146743407725,0.7031362300562288,0.6660851584752668,0.7971481542637446,0.6568593585984493
LargeDependenceHighGrayLevelEmphasis,0.041646655116873724,0.6872046920519423,0.7791098375296869,0.6960169192173646,0.6972260329347512,0.32916149697848535
LargeDependenceLowGrayLevelEmphasis,0.21246012240058826,0.6959975951475925,0.6179171265754438,0.49801728955245,0.17894472033753417,0.40348560242020187
LongRunEmphasis,0.20500564947974018,0.8012389494142569,0.6725307574290136,0.7123278024864979,0.4684512999711354,0.3871420970438583
LongRunHighGrayLevelEmphasis,0.06755133870492182,0.7951793379355958,0.7811391260925494,0.7308150748608448,0.4422144394602438,0.3014400591446328
LongRunLowGrayLevelEmphasis,-0.025105747678721865,0.6726368124426839,0.6709800588636073,0.5241286355415142,0.060627510911747756,0.24446100971485357
LowGrayLevelEmphasis,0.02158111847418326,0.6675886150396271,0.32635217178525255,0.31128488376795405,0.3873454108225743,0.43528374887536136
LowGrayLevelRunEmphasis,0.05874884206432047,0.06733661371556861,0.3718998365148303,0.3290590025766074,0.358151002763008,0.47677894527293974
LowGrayLevelZoneEmphasis,0.028830691401795786,0.3815995443909559,0.6345375318629727,0.21611800805325088,0.3940237069022728,0.4495995725153172
MCC,0.11460631410428508,0.6841414081167585,0.8116762543891922,0.6058007998634715,0.04623248001975092,0.6391874234682627
Maximum,0.020779424583135794,0.5833450923925423,0.5171967510482084,0.4472848286047816,0.6960956413289541,0.511259465059152
MaximumProbability,0.3196444222256673,0.6636014385880716,0.48132260905823154,0.45038810021999603,0.8321663106188685,0.582977025286861
