,Mean,Std,Lower CI value,Higher CI value
RunEntropy,0.014155152983390719,0.021056015864917035,-0.043592158740655626,2.8746227554187995
RunLengthNonUniformity,-0.059936187952362024,0.16581149103419934,-17.48376890671181,5.4965313162394045
RunLengthNonUniformityNormalized,-0.03129484182475798,0.08121686955615924,-8.757526105046336,2.49855774009474
RunPercentage,-0.02604247713827397,0.060909626141685755,-6.82506946289109,1.6165740352362963
RunVariance,0.17287765883966433,0.35981993585607935,-7.646483547727908,42.22201531566078
ShortRunEmphasis,-0.013710959072370762,0.03714151074470683,-3.9448712901244067,1.2026794756502546
ShortRunHighGrayLevelEmphasis,-0.008210399218262481,0.08602092357341946,-6.781985803330323,5.139905959677826
Busyness,-0.09345743366841305,0.19140259431596665,-22.609266459838043,3.917779726155432
Coarseness,0.07975491628542206,0.25794788343367764,-9.899384733187505,25.850367990271916
Complexity,-0.07058352998137399,0.19302964453074006,-20.434624918673475,6.317918922398677
Contrast.1,-0.06991148403397562,0.21179748812135685,-21.667965532108653,7.685668725313527
Strength,0.07573464919308798,0.1813628127421342,-4.99433680570405,20.141266644321647
DependenceEntropy,0.017270016733519255,0.025149033693568145,-0.015737448619152286,3.4697407953230037
DependenceNonUniformity,-0.11398380057958073,0.22778817075444704,-27.183294958983844,4.386534843067698
DependenceNonUniformityNormalized,-0.11211521783310692,0.21240960690408797,-25.93075657955354,3.507713012932158
DependenceVariance,0.18978527583140947,0.34967326566944745,-5.252593477601176,43.20964864388307
GrayLevelNonUniformity.2,-0.01825827081350078,0.14610472899170898,-11.950368255429176,8.298714092729018
HighGrayLevelEmphasis,0.004489175708297238,0.07535922705182371,-4.773210435555759,5.6710455772152075
LargeDependenceEmphasis,0.17124525487651743,0.363350917336366,-8.054408477040164,42.30345945234365
LargeDependenceHighGrayLevelEmphasis,0.17758604294613126,0.3629029694651126,-7.38928846629541,42.90649705552166
LargeDependenceLowGrayLevelEmphasis,0.20250929179839441,0.6440609613539123,-24.380218400706628,64.88207676038552
SmallDependenceEmphasis,-0.0625866665975148,0.2895712518992842,-26.324930653508332,13.807597334005372
SmallDependenceHighGrayLevelEmphasis,-0.05457694382255982,0.30909012534020663,-26.876547297590264,15.9611585330783
SmallDependenceLowGrayLevelEmphasis,-0.09840235395543942,0.2238137528250486,-25.349737185393305,5.66926639430542
Patient,0.0,0.0,0.0,0.0
