,ADC,DCE,T1w,T2w
SumSquares,65.75116150791854,65.75384801212977,65.90847190633636,66.14690656521222
GrayLevelNonUniformity,26.89688868057935,26.201865243642608,36.92059635321718,36.93402748410114
GrayLevelNonUniformityNormalized,36.50460345835048,36.512305211877106,34.877789787367774,33.791226564950755
GrayLevelVariance,65.7390613414773,65.74371729106578,65.75299527731298,65.75385204780792
HighGrayLevelZoneEmphasis,64.91352146809923,64.93073038571767,64.9001194548352,64.91274976793575
LargeAreaEmphasis,52.44242690378363,93.39116502125005,79.90396388024635,86.95497459580062
LargeAreaHighGrayLevelEmphasis,76.69442295872824,97.49981255300568,103.37559832195299,125.93739487285251
LargeAreaLowGrayLevelEmphasis,76.12695820722662,92.70588336637826,91.84278838683267,105.14419413914825
LowGrayLevelZoneEmphasis,35.73894135216361,36.06139688149872,36.29490834734666,34.87656443982003
SizeZoneNonUniformity,28.457249891967535,32.93456139336401,22.688232211726504,28.17785246380095
SizeZoneNonUniformityNormalized,15.206905231550792,16.6587805184147,7.401339000320169,8.755970481641247
SmallAreaEmphasis,7.204700793596666,8.069121253936494,3.779060795195752,4.65571462734329
SmallAreaHighGrayLevelEmphasis,69.41496045129963,69.90570266384404,66.46570637413168,67.20720472001344
SmallAreaLowGrayLevelEmphasis,29.212751906849192,28.844879426340285,33.95459279282126,32.82225094104028
ZoneEntropy,3.7999287555555883,3.298925814812648,6.088390072074033,5.723393433799039
ZonePercentage,12.14819700916447,15.362324169489458,16.11242906065365,25.490538328252114
ZoneVariance,53.754290598501036,125.85472606325112,79.99375630443843,86.98249510845015
GrayLevelNonUniformity.1,37.966660473836924,37.72162207700006,33.97867031389201,30.259210793192118
GrayLevelNonUniformityNormalized.1,36.47947613003227,36.51319146923289,30.76502915507364,26.157066221108323
GrayLevelVariance.1,65.75167872718619,65.75655873583929,65.86928564929423,66.01219354615671
HighGrayLevelRunEmphasis,64.91270608538198,64.92128263798963,64.9652174653404,65.09558146765158
LongRunEmphasis,2.678928277253954,3.6136263239992354,5.006921686220625,13.780869387572736
LongRunHighGrayLevelEmphasis,63.35281245919977,62.73714744502409,64.97352017610073,67.35777144747628
LongRunLowGrayLevelEmphasis,37.741273061004335,39.021035677122214,38.688819348710695,36.38241982170895
LowGrayLevelRunEmphasis,35.592970158402025,36.0705910918659,37.64393150469363,30.599891906094157
RunEntropy,8.85473654044192,8.630688171072947,8.22274507296638,7.184026363525925
RunLengthNonUniformity,6.962839260206237,8.303891739630485,10.35852915823109,10.98109395952217
RunLengthNonUniformityNormalized,1.5416002727644713,2.087597920047255,2.4420264989065963,4.9616666473366084
RunPercentage,0.8250074279195823,1.13037589889942,1.560384361430821,3.518554094072165
RunVariance,22.927999572594487,41.115641647850175,18.018822932302278,29.167413276829393
