,Mean,Std,Lower CI value,Higher CI value
InverseVariance,-0.15543601535459417,0.2954303607528908,-36.015881058221616,4.928677987302782
JointEnergy,0.04587928193674627,0.3781008642527475,-21.613124944715352,30.78898133206461
JointEntropy,-0.05796025900170845,0.1517658179321584,-16.312860523361756,4.720808723020063
MCC,0.006335036121114444,0.019979446229561635,-0.7510013753895086,2.0180085996123975
MaximumProbability,-0.041135422915433956,0.3833487172762094,-30.678253090970276,22.45116850788348
SumEntropy,-0.04611985895310072,0.13155444799038266,-13.728244037696824,4.504272247076678
SumSquares,-0.09880772809890345,0.46759886248073124,-42.28372081034396,22.522175190563267
GrayLevelNonUniformity,-0.18722597447086523,0.386862774255623,-45.53081997143609,8.085625077263044
GrayLevelNonUniformityNormalized,0.18927170775757357,0.33372779168065525,-4.198985311887318,42.05332686340203
GrayLevelVariance,-0.30362607217986126,0.5941593995058441,-71.53575298662444,10.810538550652188
LargeAreaEmphasis,0.3922734807591331,0.7149802241830701,-10.318253687631113,88.77294983945774
LargeAreaHighGrayLevelEmphasis,0.5806656601860702,0.7500975966445947,6.087454498972811,110.04567753824124
LargeAreaLowGrayLevelEmphasis,-0.07039897322810301,0.9823177410853041,-75.11104385093475,61.03124920531413
LowGrayLevelZoneEmphasis,-0.3259725561093535,0.7986753464673886,-87.94263344938872,22.74812222751802
SizeZoneNonUniformity,-0.4497487765466909,0.6407165711704317,-89.37427081940321,-0.5754844899349576
SizeZoneNonUniformityNormalized,-0.13951344257283424,0.184062025354305,-26.706191873405437,-1.1964966411614126
SmallAreaHighGrayLevelEmphasis,-0.01574802018547567,0.2500169834427203,-18.90009505015449,15.750491013059357
SmallAreaLowGrayLevelEmphasis,-0.35463476728551296,0.8634162764710196,-95.295172128342,24.3682186712394
ZoneEntropy,-0.008984977234862652,0.034970824229966335,-3.321852205242083,1.5248567582695525
ZonePercentage,-0.3484812841569409,0.5648673710017456,-73.99144016931655,4.295183337928366
ZoneVariance,0.3921923054247308,0.7149363911370961,-10.323333745954615,88.76179483090078
GrayLevelNonUniformity.1,0.03584593393316014,0.2559260095695137,-14.150174257848391,21.319361044480424
GrayLevelNonUniformityNormalized.1,0.04891762008931798,0.23584113992268896,-11.45119518463388,21.234719202497477
GrayLevelVariance.1,-0.10597631479644834,0.48567451068715806,-44.25315799536692,23.05789503607725
LongRunEmphasis,0.3159628632838791,0.736403164525964,-19.4338494613192,82.62642211809502
LongRunHighGrayLevelEmphasis,0.5074586082861184,0.7734849543477645,-2.853911895165151,104.34563355238883
LongRunLowGrayLevelEmphasis,-0.14445785030698363,0.927285271100412,-78.7033759530701,49.81180589167336
RunEntropy,0.02279194556574461,0.07248110613423289,-2.743489845656497,7.301878958805419
RunLengthNonUniformity,-0.2562330114613318,0.5288770306409927,-62.27260955457821,11.026007262311849
RunLengthNonUniformityNormalized,-0.12092601736350261,0.28070943023713,-31.544772819391557,7.359569346691036
RunPercentage,-0.15635197001482043,0.31931438809869256,-37.76255517867385,6.492161175709768
RunVariance,0.3096491355009717,0.8244030570219946,-26.16330367091772,88.09313077111204
ShortRunEmphasis,-0.0870274232669607,0.19311938559462194,-22.08523298568468,4.679748332292541
ShortRunHighGrayLevelEmphasis,0.17193356631899256,0.5808771474863059,-23.05937603043953,57.44608929423804
Busyness,-0.2484341922121344,0.3638003514775161,-50.05349738293794,0.36665894051106374
Coarseness,0.13402788816503122,0.3062001866527077,-7.8158015650030634,34.62137919800931
Contrast.1,-0.06070264258416139,0.39066256101684604,-33.141798571386225,21.001270054553952
Strength,-0.1001334827453674,0.3373999451710773,-33.39397161637567,13.367275067302192
DependenceNonUniformity,0.3123387616704288,0.3978460432194687,3.6645519342280664,58.803200399857694
