,ADC,DCE,T1w,T2w
HighGrayLevelRunEmphasis,0.378890505527236,-0.0652419392767281,0.280625926330048,0.545996359114576
HighGrayLevelZoneEmphasis,0.324328805359137,0.025931435182958,0.388065175028951,0.122233470121297
Id,0.653724440627299,0.127766043911732,0.779810462956262,0.693914326293931
Idm,0.653895839362076,0.115787431295732,0.778882555315614,0.696612058218545
Idmn,0.634744597680167,0.193150741820693,0.728876678600831,0.638098607840427
Idn,0.639941949479714,0.171784596418983,0.771153843578928,0.668590213476661
Imc1,0.671701543341838,0.00392518658324434,0.788871871241536,0.751454432905765
Imc2,0.659546575161923,0.170863326430785,0.749909677701308,0.488585150534112
InterquartileRange,0.744088239117739,-0.110068225648395,0.221600570456914,0.502031324423524
InverseVariance,0.370716123952,0.147573604883988,0.811131286412836,0.664052705828246
JointAverage,0.444169935030538,-0.035515587846163,0.213626593454056,0.39704318459312
JointEnergy,0.61436155507828,-0.0133135729498867,0.809169308132489,0.572811060496255
JointEntropy,0.627668569538318,-0.000444481358042379,0.805338254105007,0.635033206754529
Kurtosis,0.710395032157353,0.279435571987451,0.733988295643882,0.0824491892005474
LargeAreaEmphasis,0.636482100767319,-0.00135943300207478,0.711873277066046,0.701981580194799
LargeAreaHighGrayLevelEmphasis,0.636544431425464,-0.00174455227735429,0.737475942350406,0.667357345246865
LargeAreaLowGrayLevelEmphasis,0.636665820878299,0.0127829568894729,0.537430508343596,0.623935731607208
LargeDependenceEmphasis,0.688146743407725,0.045863499426694,0.703136230056229,0.666085158475267
LargeDependenceHighGrayLevelEmphasis,0.687204692051942,0.0416466551168737,0.779109837529687,0.696016919217365
LargeDependenceLowGrayLevelEmphasis,0.695997595147593,0.212460122400588,0.617917126575444,0.49801728955245
LongRunEmphasis,0.801238949414257,0.20500564947974,0.672530757429014,0.712327802486498
LongRunHighGrayLevelEmphasis,0.795179337935596,0.0675513387049218,0.781139126092549,0.730815074860845
LongRunLowGrayLevelEmphasis,0.672636812442684,-0.0251057476787219,0.670980058863607,0.524128635541514
LowGrayLevelEmphasis,0.667588615039627,0.0215811184741833,0.326352171785253,0.311284883767954
LowGrayLevelRunEmphasis,0.0673366137155686,0.0587488420643205,0.37189983651483,0.329059002576607
LowGrayLevelZoneEmphasis,0.381599544390956,0.0288306914017958,0.634537531862973,0.216118008053251
MCC,0.684141408116759,0.114606314104285,0.811676254389192,0.605800799863472
Maximum,0.583345092392542,0.0207794245831358,0.517196751048208,0.447284828604782
MaximumProbability,0.663601438588072,0.319644422225667,0.481322609058232,0.450388100219996
Mean,0.67515508721705,0.378477677953084,0.535206752559947,0.566327839341536
MeanAbsoluteDeviation,0.736822708763787,0.105317341400417,0.257726105380597,0.549184313104342
Median,0.595076758653538,0.425939038557733,0.650924850326155,0.604743083003953
Minimum,,-0.209688555078272,,
Range,0.583345092392542,0.0193685313304677,0.517196751048208,0.447284828604782
RobustMeanAbsoluteDeviation,0.747660112452532,-0.100809013089832,0.23510875401313,0.546333517542497
RootMeanSquared,0.703744397889836,0.233531385265953,0.409486565817949,0.53569556909532
RunEntropy,0.656578456130176,0.161352315675893,0.715309610089315,0.765989932398719
RunLengthNonUniformity,0.992098508951762,0.988355153689083,0.937873267817354,0.90992726492145
RunLengthNonUniformityNormalized,0.612310947058496,0.148003009220169,0.787512696394457,0.721017362016789
RunPercentage,0.674379675302236,0.107940021351604,0.759666828011782,0.699968210045594
RunVariance,0.807865412376783,0.520006311582679,0.640959417054718,0.698694172783498
ShortRunEmphasis,0.605278881528113,0.137694730197971,0.770138054470161,0.734740128713919
ShortRunHighGrayLevelEmphasis,-0.179644559999754,-0.110396959828927,0.225624610345308,0.536333987919265
ShortRunLowGrayLevelEmphasis,0.136012932284836,0.144636456112823,0.158606367952681,0.230978596942498
SizeZoneNonUniformity,0.986564426869349,0.911800169762855,0.514393755416541,0.430343007585832
SizeZoneNonUniformityNormalized,0.801718630098273,0.230262631484026,0.487907208674131,0.628725257163921
Skewness,0.718474524109944,0.531631995421803,0.741614387261669,0.122179493730226
SmallAreaEmphasis,0.803254228839909,0.222451655479307,0.480291918734364,0.622627819029904
SmallAreaHighGrayLevelEmphasis,0.827835206136402,0.226570566283358,0.309589711013985,0.546288638463452
SmallAreaLowGrayLevelEmphasis,0.295396162355177,0.319458928151182,0.211658890064439,0.515049649493486
SmallDependenceEmphasis,0.70186815855101,0.221052415217273,0.792608662541546,0.631375899437304
SmallDependenceHighGrayLevelEmphasis,0.715016502173268,0.22625981215756,0.774968398035769,0.625168245330736
SmallDependenceLowGrayLevelEmphasis,0.750612547693821,0.247777444286117,0.765373314610078,0.627475911750187
Strength,0.950876985367418,0.942910863498444,0.930206547423431,0.950107726029997
SumAverage,0.444169935030599,-0.0355155878461665,0.213626593454069,0.397043184593125
SumEntropy,0.594273723665497,0.204889576019282,0.480009810442977,0.35076270437704
SumSquares,0.61436737525924,-0.0487875378613751,0.199460559436926,0.46810389761015
TotalEnergy,0.644621147496013,0.293772666910428,0.697682117370813,0.561427444486468
Uniformity,0.537494269978434,0.139986036962267,0.756145646665313,0.0569508317704136
Variance,0.67450870685115,0.190877942704568,0.192042675941197,0.415837226388626
ZoneEntropy,0.749419264761518,0.220763699972987,0.523194249654715,0.668656281925007
ZonePercentage,0.685622133680593,0.217742543424895,0.793633792450655,0.610712382295689
ZoneVariance,0.636477672608059,-0.00135633488287725,0.711879658555434,0.701982404375365
