,DCE,ADC,T1w,T2w,T1w Z,T2w Z,T1w Z effect,T2w Z effect
DifferenceEntropy,-0.005082458129485546,-0.007753795805916506,0.744139544853667,0.7409410850914786,0.32810560350332335,0.5275763652860509,0.746860037958525,0.746860037958525
DifferenceVariance,0.0047474883094843386,0.0020251160140111624,0.019804150303558015,0.002570360327233086,0.08859202520742807,0.16350931710577646,0.03693923137594509,0.03693923137594509
Elongation,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0
Energy,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,0.002640290837343233,0.002640290837343233
Entropy,0.1394576129249893,0.7985769836183749,-0.046369578227419245,0.02803521027437945,-0.07114630159349437,-0.0405227140377492,0.9999999995107085,0.9999999995107085
Flatness,1.0,0.9999999999999998,1.0,0.9999999999999998,1.0,0.9999999999999998,1.0,1.0
GrayLevelNonUniformity,0.7716737776224672,0.7984009190007837,0.8241004523016062,0.7796542692452143,0.20289101919790223,0.09025065137289964,0.5235815080289087,0.5235815080289087
GrayLevelNonUniformity.1,0.32836127597479275,0.35245404317459733,0.5979991039436041,0.7490754329764907,0.09162005766071762,0.04850398340350266,0.9163955135693629,0.9163955135693629
GrayLevelNonUniformity.2,0.3761896011011761,0.37959623819699856,0.4631764402924402,0.5246614086079329,0.25640664991312934,0.46612027322447064,0.2517013242614835,0.2517013242614835
GrayLevelNonUniformityNormalized,-0.0009632084802115586,-0.0028116603056140784,0.0473179725710537,0.000985565113218704,0.11292003673493997,0.20620612595418272,-0.02023272548015385,-0.02023272548015385
GrayLevelNonUniformityNormalized.1,-0.0008881853568270546,-0.0018544891364704994,0.036231296180689744,0.05187737310979858,-0.03956927843728608,0.18570136191877157,0.06108263567314959,0.06108263567314959
GrayLevelVariance,-0.0011396351818001632,0.00034348367853676286,0.002760944947996785,0.0014233618863604372,0.09446003333374864,0.21126290938149792,-0.13551962624127376,-0.13551962624127376
GrayLevelVariance.1,-0.001971122018008932,-0.00044703682902483293,0.008253863977608732,0.010791704747566157,0.08650905849694866,0.17534926422976907,-0.02174104117303363,-0.02174104117303363
GrayLevelVariance.2,-0.00016612031531708086,0.00024958617256371445,0.010963260619150653,-0.000914553507541538,0.04960677105524149,0.14981529095156024,0.08742250918636399,0.08742250918636399
HighGrayLevelEmphasis,0.0015921732135583573,0.00030283703753962216,0.015465088832002606,0.018121233369437592,0.1570229459596141,0.011108743674625709,0.03490883819054942,0.03490883819054942
HighGrayLevelRunEmphasis,0.0014691395268717647,0.0006083301315957315,0.014618450091960942,0.016065451837539275,0.1603974777867992,0.011390477216456283,0.03382759343759642,0.03382759343759642
HighGrayLevelZoneEmphasis,0.0011668595525216369,0.00029151327268757686,0.0031684627146562182,0.001627339718412419,0.14933552934131591,0.012811255409948194,0.022170321065868515,0.022170321065868515
Id,0.1013381214441225,0.04108632304088451,0.6351842753787855,0.6502267200570627,0.3429631407212052,0.4805306428962471,0.7281162663766123,0.7281162663766123
Idm,0.12883712365275354,0.09854737285582399,0.6529007957936526,0.6662346250784096,0.3431147266779752,0.47431580991196565,0.666576921486344,0.666576921486344
Idmn,0.8633701908026664,0.2592283132101955,0.9725761168296113,0.9707451983833263,0.7342927279381141,0.9904954598385611,0.030813380455784595,0.030813380455784595
Idn,0.9516850196396434,0.5680217325755559,0.9903723294022758,0.9905819350526842,0.890261425627374,0.9597891065485397,0.29399126257457875,0.29399126257457875
Imc1,0.9094490880159889,0.67985193340587,0.9194571879233719,0.9491852712582969,0.8761400411808556,0.8405140162576078,0.7660867363726845,0.7660867363726845
Imc2,0.9814126290527099,0.8665638493610095,0.4102120858500375,0.5303864947269273,0.19197687870831392,0.05760491258889845,0.08040901186900332,0.08040901186900332
InterquartileRange,0.9999999999999998,1.0,1.0,1.0,1.0,1.0000000000000002,0.0481381137115698,0.0481381137115698
